Component Name#info,System,URL#info,Component Description#info,Source,Component Type,Function,Maturity/status,Domain Community,Steward Organization,References-Text#info,Protocols,InterchangeFormats ,InputFileFormat,Input parameters,Output file format,InformationModels,Implementation,TimeToLive#info,#name,#img,
Semantically Linked Users and Actions,,http://vocab.deri.ie/slua,"SLUA (Semantically Linked Users and Actions) ontology aims to model users and tasks in crowdsourcing systems in terms of the human factors such as actions, capabilities, and rewards",,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Semantically Linked Users and Actions,vocabulary.jpg,vocabulary
Sensor Ontology,,http://mmisw.org/orr/#http://www.w3.org/2009/SSN-XG/Ontologies,Ontology developed by the W3C Semantic Sensor Network Incubator Group,,vocabulary,information exchange,Published Standard,Ocean Science,W3C,,,,,,,,,,Sensor Ontology,vocabulary.jpg,vocabulary
Sensor web servers,GEOSS,,Services to access sensors and sensors networks: e.g.; ground station and associated satellites; and in-situ networks of sensors.,cicomponentREview,server application,data acquisition,,,GEOSS,OGC AIP-7 Architecture report,"SOS, SPS, SAS",,,,,,,,Sensor web servers,webclient.jpg,server application
server code repository,GEOSS,,"a server code repository will be deployed and made available for the GCI components software GeoTasks… make more discoverable, accessible and usable the GEOSS components developed… contribute code references to BPW or a link from the BPW to code hosts (e.g., GitHub, SourceForge), creating the “GEOSS App Store”... ",cicomponentREview,repository,resource access,,,GEOSS,OGC AIP-7 Architecture report,,,,,,,,,server code repository,database.jpg,repository
Service monitoring,GEOSS,,,cicomponentREview,server application,usage monitoring,,,GEOSS,"OGC AIP-7 Architecture report, Figure 7",,,,,,,,,Service monitoring,webclient.jpg,server application
Services Register,GEOSS,,list of services registered into GEOSS,cicomponentREview,register,discovery,,,GEOSS,"OGC AIP-7 Architecture report, figure 4",,,,,,,,,Services Register,globe.jpg,register
SESAR Collection Method,,http://www.geosamples.org/help/vocabularies#collection,SESAR suggested list to classify how samples were collected,,vocabulary,information exchange,Community-Established,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Collection Method,vocabulary.jpg,vocabulary
SESAR Country List,,http://www.geosamples.org/help/vocabularies/country,Controlled list of countries accounted for by SESAR,,vocabulary,information exchange,Published Standard,Generic,Integrated Earth Data Applications,,,,,,,,,,SESAR Country List,vocabulary.jpg,vocabulary
SESAR Material,,http://app.geosamples.org/reference/materials.php,Terms to describe matter and type of mineral,,vocabulary,information exchange,Published Standard,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Material,vocabulary.jpg,vocabulary
SESAR Metadata Fields,,http://www.geosamples.org/help/vocabularies#metadata,Vocabulary to describe metadata,,vocabulary,information exchange,Published Standard,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Metadata Fields,vocabulary.jpg,vocabulary
SESAR Mineral Classification,,http://www.geosamples.org/help/vocabularies/mineral,Controlled list of terms to describe mineral samples,,vocabulary,information exchange,Published Standard,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Mineral Classification,vocabulary.jpg,vocabulary
SESAR Navigation Type,,http://www.geosamples.org/help/vocabularies#nav,Controlled list of navigation methods and terms based off the MGDS list.,,vocabulary,information exchange,Published Standard,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Navigation Type,vocabulary.jpg,vocabulary
SESAR Physiographic Feature,,http://www.geosamples.org/help/vocabularies#physio,SESAR suggest list for classify geophysical features,,vocabulary,information exchange,Community-Established,Geospatial,Integrated Earth Data Applications,,,,,,,,,,SESAR Physiographic Feature,vocabulary.jpg,vocabulary
SESAR Platform Type,,http://www.geosamples.org/help/vocabularies#platform,SESAR suggested list to describe vehicles and other craft used in research.,,vocabulary,information exchange,Community-Established,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Platform Type,vocabulary.jpg,vocabulary
SESAR Rock Classification,,http://www.geosamples.org/help/vocabularies/rock,Controlled list of terms to classify rock samples,,vocabulary,information exchange,Published Standard,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Rock Classification,vocabulary.jpg,vocabulary
SESAR Sample Type (Object),,http://www.geosamples.org/help/vocabularies#object,"The System for Earth Sample Registration registers specimens and related sampling features collected from the natural environment. These include, but are not limited to: Rock, mineral, or fossil specimens, and sub-samples thereof (e.g. thin sections, mineral concentrates) Dredges Cores (rock, sediment, ice) and related core sections, section halves, and samples from cores Fluid samples (seawater, river or lake water, hydrothermal fluids, porewater) Drill holes and wells Soil pedons and samples thereof Macro- and micro-biology samples",,vocabulary,information exchange,Published Standard,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Sample Type (Object),vocabulary.jpg,vocabulary
SESAR vocabularies,,http://www.geosamples.org/help/vocabularies,web page listing of vocabularies,,catalog,,Unknown,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR vocabularies,icon_catalog.jpg,catalog
Shoreline Metadata Profile,,http://www.fgdc.gov/standards/projects/FGDC-standards-projects/metadata/shoreline-metadata/,"Providing the format and content for describing data sets related to shoreline and other coastal data sets, this profile complies with the FGDC/CSDGM standard.",hli,specification,DCC,Conceptual,Marine Geology,Digital Curation Centre,,,,,,,,,,Shoreline Metadata Profile,globe.jpg,specification
SIAM,Monterey Ocean Observing System,,"MBARI's Software Infrastructure and Applications for MOOS (""SIAM"") provides a framework for seamless integration of self-describing, plug-and-work instruments into the observatory, remote instrument control from shore, data acquisition and telemetry, autonomous system management, and autonomous event detection and response. SIAM is a data acquisition architecture and driver model in Java. SIAM drivers are existing for various serially connected instruments, including CTD and ADCP.",cicomponentREview,instrument interface,hardware controller,operational,,,,,,,,,,,,SIAM,globe.jpg,instrument interface
Sigma EE Configuration Language,,http://vocab.deri.ie/sigma,This is a draft for the Sigma EE Configuration Language.,,vocabulary,information exchange,Unknown,Various,Digital Enterprise Research Institute,,,,,,,,,,Sigma EE Configuration Language,vocabulary.jpg,vocabulary
Sindice Search Vocabulary,,http://vocab.deri.ie/search,"A vocabulary for ranked search results, for use in the Sindice API.",,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Sindice Search Vocabulary,vocabulary.jpg,vocabulary
Single Sign on,iPlant,"Goff et al., 2011",provides federated access to iPlant services without explicitly transmitting user credentials,cicomponentREview,component,authentication,,,iPlant,,HTTP API,,,,,,Shibboleth,,Single Sign on,globe.jpg,component
Single Sign on/ user mangement,GEOSS,OGC AIP-7 Architecture report,"A focus of AIP-7 is to have user registration required once, resulting in some kind of digital identification to be used repeatedly by the registered data user in a single sign-on (SSO) scenario. This strategy may have an expiration date associated with the digital identification, requiring some sort of renewal process. Provides user registration and single sign-on, along with user data access and use metrics. Appropriate services are exposed through a GCI component and data provider interfaces.",cicomponentREview,component,authentication,,,GEOSS,,"OpenID, SAML2",,,,,,"OpenID, Shibboleth (SAML  based)",,Single Sign on/ user mangement,globe.jpg,component
SlideShare,,,,cicomponentREview,,,,,,,,,,,,,,,SlideShare,globe.jpg,
SMAIL Vocabulary,,http://vocab.deri.ie/smail,,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,SMAIL Vocabulary,vocabulary.jpg,vocabulary
SoilML,,http://eusoils.jrc.ec.europa.eu/esdb_archive/eusoils_docs/Poster/montanarella_EGU2010_XML.pdf,"p a global soil information standard, to be called SoilML, that would allow
access and use of data across a broad range of international initiatives (such as GEOSS and INSPIRE)
as well as supporting national, regional and local data interoperability and integration. ",hli,Information Model,,Planned,Soils,European Soil Data Centre,,,,,,,,,,SoilML,infomrationModel.jpg,Information Model
Solarwinds Orion/Network Performance Monitor,,,"allows you to quickly detect, diagnose, and resolve network performance issues and outages",cicomponentREview,server application,reporting,operational,,Solarwinds,,,,,,,,,,Solarwinds Orion/Network Performance Monitor,webclient.jpg,server application
SOLR,,,Search engine; configure with index schema,cicomponentREview,component,,,,,,,,,,,,,,SOLR,globe.jpg,component
SOS -Sensor Observation Service,,http://www.opengeospatial.org/standards/sos,"This tool uses the Observations and Measurements standard to define a Web service interface which allows querying observations, sensor metadata, as well as representations of observed features.",hli,specification,DCC,Unknown,Data Systems,Digital Curation Centre,,,,,,,,,,SOS -Sensor Observation Service,globe.jpg,specification
SoTerML Soil and Terrain Markup Language,,http://www.isric.org/specification/SoTerML.xsd,"SoTerML (Soil and Terrain Markup Language) is a developing markup lanuage to be used to store and exchange soil and terrain related data. SoTerML is as an extension of GeoSciML for SOTER model compliant with ISO/TC190/SC 1 N140 ""Recording and Exchange of Soil-Related Data"" (Source: OGC)",,interchange format,,AdHoc,Soil Science,e-SOTER Regional pilot platform as EU contribution to a Global Soil Observing System,,,,,,,,,,SoTerML Soil and Terrain Markup Language,globe.jpg,interchange format
Southern Oligotrophic Gyre,,http://noc.ac.uk/observatories/sog,"The SOG mooring was deployed from the RRS James Clark Ross on 9th May 2014 at 21:05UTC,  Cruise ID is JR20140501. The best estimates for anchor position and depth are 18° 33'.3865 S,  025° 05'.4561 W  and  5,252m.  Comprising a sediment trap mooring with current sensors and a deep microcat it is situated in the middle of the least productive gyre in the South Atlantic. In contrast to NOG, a similar mooring in the Northern Oligotrophic Gyre, it is not influenced by dust supply. This observatory forms part of the FixO3 network of observatories.",,platform,,Not Evaluated,Oceanography,National Oceanography Centre,,,,,,,,,,Southern Oligotrophic Gyre,globe.jpg,platform
